,lag,lag,lag,lag,lag,lag,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr
,mean,median,std,min,max,count,mean,median,std,min,max
feature,,,,,,,,,,,
cumulative_vaccine_doses_administered_janssen,31.022,36.0,18.704,0,49,46,0.688,0.709,0.115,0.37,0.853
cumulative_persons_fully_vaccinated_janssen,32.109,37.5,18.129,0,49,46,0.685,0.709,0.118,0.36,0.854
cumulative_vaccine_doses_administered_pfizer,25.543,30.5,19.73,0,49,46,0.682,0.699,0.107,0.415,0.847
cumulative_vaccine_doses_administered,24.935,29.5,19.713,0,49,46,0.68,0.69,0.109,0.411,0.844
cumulative_persons_fully_vaccinated_pfizer,29.5,35.5,19.565,0,49,46,0.673,0.694,0.126,0.352,0.85
cumulative_persons_vaccinated,28.457,32.5,18.95,0,49,46,0.67,0.69,0.106,0.383,0.844
cumulative_persons_fully_vaccinated,30.304,36.0,19.139,0,49,46,0.669,0.697,0.127,0.343,0.845
cumulative_persons_fully_vaccinated_moderna,32.63,40.5,18.542,0,49,46,0.65,0.683,0.125,0.325,0.836
cumulative_vaccine_doses_administered_moderna,29.638,35.0,19.641,0,49,47,0.64,0.673,0.115,0.309,0.838
new_vaccine_doses_administered_moderna,49.0,49.0,0.0,49,49,6,0.521,0.522,0.136,0.329,0.745
new_vaccine_doses_administered_pfizer,49.0,49.0,0.0,49,49,10,0.466,0.444,0.139,0.301,0.678
new_persons_fully_vaccinated_pfizer,49.0,49.0,0.0,49,49,9,0.454,0.432,0.101,0.318,0.608
new_persons_fully_vaccinated_janssen,47.667,49.0,2.309,45,49,3,0.437,0.447,0.098,0.335,0.53
new_persons_fully_vaccinated_moderna,49.0,49.0,0.0,49,49,7,0.437,0.358,0.143,0.305,0.646
new_vaccine_doses_administered_janssen,47.667,49.0,2.309,45,49,3,0.433,0.441,0.093,0.336,0.521
new_persons_vaccinated,30.774,38.0,17.194,0,49,31,0.372,0.387,0.15,-0.373,0.556
new_vaccine_doses_administered,40.947,48.0,9.324,17,49,19,0.359,0.372,0.175,-0.31,0.605
