abbr,feature,lag,best_corr,p_value,type
BC,BC,0,1.0,0.0,region
BC,AB,0,0.6573141541031395,8.850544334372435e-74,region
BC,ON,48,0.5250681479012037,1.6168385823017988e-45,region
BC,SK,49,0.4702602888764074,1.0436373486137392e-35,region
BC,MB,0,0.3832143790401594,7.447809106589104e-19,region
BC,NB,47,0.3370663399036342,3.327866665312923e-17,region
BC,PE,47,0.325724289016073,2.302915656336389e-15,region
BC,NT,0,0.3161832969936615,7.26417949139012e-10,region
BC,QC,48,0.3066240400608011,4.658232100721453e-15,region
BC,NS,0,0.2837056907688948,1.4566703383877905e-08,region
BC,NL,14,0.1602559729258634,0.0016852652065269,region
