Index,State,Abbr,Population Estimate (2023),Population Census (2020)
1,California,CA,38965193,39538223
2,Texas,TX,30503301,29145505
3,Florida,FL,22610726,21538187
4,New York,NY,19571216,20201249
5,Pennsylvania,PA,12961683,13002700
6,Illinois,IL,12549689,12812508
7,Ohio,OH,11785935,11799448
8,Georgia,GA,11029227,10711908
9,North Carolina,NC,10835491,10439388
10,Michigan,MI,10037261,10077331
11,New Jersey,NJ,9290841,9288994
12,Virginia,VA,8715698,8631393
13,Washington,WA,7812880,7705281
14,Arizona,AZ,7431344,7151502
15,Tennessee,TN,7126489,6910840
